id,latitude,longitude,accommodates,price,cleaning_fee,weekly_earnings
16549244,37.78309705,-122.4164612,2,$100.00 ,,420.00
3779249,37.787491,-122.4139135,2,$189.00 ,$100.00 ,693.80
2172695,37.77482226,-122.4214163,2,$249.00 ,$150.00 ,895.80
15583984,37.78818884,-122.4134272,2,$95.00 ,$25.00 ,374.00
10832,37.7857389,-122.4079771,2,$156.00 ,$130.00 ,525.20
8685943,37.78536234,-122.4077592,2,$89.00 ,$25.00 ,348.80
15624763,37.77731639,-122.419116,1,$96.00 ,,403.20
13657857,37.78587775,-122.4162135,2,$59.00 ,$19.00 ,228.80
15042300,37.77948777,-122.4225563,2,$150.00 ,,630.00
8685766,37.78719571,-122.4081145,2,$89.00 ,$25.00 ,348.80
10546027,37.78719777,-122.4094247,4,$500.00 ,,2100.00
17191322,37.78703918,-122.4172841,2,$150.00 ,$75.00 ,555.00
11086227,37.78831958,-122.4120734,4,$175.00 ,,735.00
12183939,37.77931513,-122.4225263,2,$250.00 ,,1050.00
9316519,37.78698231,-122.4091863,4,$180.00 ,,756.00
12363944,37.7883515,-122.4119012,4,$300.00 ,,1260.00
8489712,37.78267704,-122.4222033,2,$120.00 ,$80.00 ,424.00
10823803,37.77763775,-122.4229465,2,$300.00 ,,1260.00
5070957,37.78529865,-122.4082313,2,$59.00 ,$25.00 ,222.80
10857065,37.78721527,-122.4155167,2,$500.00 ,,2100.00
17794741,37.78728421,-122.407696,2,$75.00 ,$25.00 ,290.00
1484792,37.7779462,-122.4217771,2,$250.00 ,$100.00 ,950.00
17516202,37.78528565,-122.4155614,1,$70.00 ,,294.00
862203,37.79014851,-122.4075296,2,$201.00 ,$85.00 ,759.20
8540473,37.78820116,-122.4146287,1,$145.00 ,$60.00 ,549.00
4040475,37.7870188,-122.4198057,2,$125.00 ,$50.00 ,475.00
12510982,37.78626251,-122.408017,2,$110.00 ,$25.00 ,437.00
2943327,37.78878139,-122.4114781,4,$180.00 ,,756.00
2926901,37.78838974,-122.4094458,4,$179.00 ,,751.80
13560107,37.78723981,-122.4093908,2,$89.00 ,$25.00 ,348.80
15214880,37.78781957,-122.4137364,4,$399.00 ,$100.00 ,1575.80
2468125,37.7871598,-122.4098349,2,$219.00 ,,919.80
16230094,37.78483567,-122.419399,3,$150.00 ,,630.00
13973341,37.78721514,-122.4096927,2,$219.00 ,,919.80
8565153,37.78600527,-122.4082555,2,$110.00 ,$25.00 ,437.00
1905976,37.78846602,-122.4164714,2,$175.00 ,$40.00 ,695.00
13018401,37.78918567,-122.4135415,6,$525.00 ,$99.00 ,2106.00
862163,37.7900611,-122.4079039,2,$137.00 ,$64.00 ,511.40
2959323,37.78800429,-122.4114577,4,$180.00 ,,756.00
9430983,37.78263111,-122.4166116,3,$198.00 ,$75.00 ,756.60
8554141,37.78680319,-122.4077514,2,$110.00 ,$25.00 ,437.00
16545687,37.78433547,-122.416043,2,$100.00 ,,420.00
17385851,37.7860013,-122.4130507,2,$70.00 ,,294.00
707236,37.7773499,-122.4224388,2,$185.00 ,$75.00 ,702.00
11461771,37.78207905,-122.4217747,14,$69.00 ,$25.00 ,264.80
5260816,37.78722317,-122.4081722,2,$89.00 ,$25.00 ,348.80
10937873,37.7880679,-122.4185859,4,$500.00 ,,2100.00
7950510,37.78750047,-122.4136974,2,$650.00 ,,2730.00
11183089,37.7894649,-122.4129971,4,$270.00 ,$50.00 ,1084.00
10789800,37.77456667,-122.4213,4,$900.00 ,$100.00 ,3680.00
13264364,37.7875227,-122.4095836,4,$195.00 ,,819.00
17016281,37.78721493,-122.413163,2,$100.00 ,,420.00
4171151,37.7884672,-122.4138802,5,$129.00 ,$85.00 ,456.80
15721864,37.78678225,-122.4202624,4,$220.00 ,,924.00
10282371,37.78938021,-122.4081533,2,$279.00 ,$50.00 ,1121.80
10282326,37.78888883,-122.4090006,2,$279.00 ,,1171.80
2658295,37.79003758,-122.4092141,4,$219.00 ,,919.80
8084285,37.78845769,-122.4106211,4,$190.00 ,,798.00
6416081,37.78170314,-122.4231243,1,$125.00 ,,525.00
9216687,37.78639051,-122.4148032,2,$100.00 ,,420.00
1614453,37.78758603,-122.4090527,4,$169.00 ,,709.80
14836328,37.78941509,-122.4115858,4,$275.00 ,,1155.00
17556056,37.78579067,-122.4162689,2,$135.00 ,,567.00
10888761,37.78746855,-122.4150482,1,$75.00 ,$50.00 ,265.00
1483853,37.78839085,-122.4093714,4,$179.00 ,,751.80
910338,37.78715483,-122.4119009,2,$136.00 ,$50.00 ,521.20
1827911,37.78845709,-122.4213429,4,$665.00 ,$282.00 ,2511.00
7005242,37.78841412,-122.4145451,4,$300.00 ,$50.00 ,1210.00
14197816,37.78784823,-122.4130918,4,$270.00 ,$50.00 ,1084.00
11731031,37.77692593,-122.4181918,1,$55.00 ,,231.00
12263934,37.78449752,-122.4180384,2,$120.00 ,$30.00 ,474.00
10068465,37.78997892,-122.4074824,2,$199.00 ,$59.00 ,776.80
7638453,37.78133099,-122.4119049,3,$145.00 ,$50.00 ,559.00
16944561,37.78537012,-122.407931,2,$70.00 ,$25.00 ,269.00
17794453,37.78725353,-122.409164,2,$75.00 ,$25.00 ,290.00
9351225,37.78321788,-122.419635,3,$129.00 ,$10.00 ,531.80
14197078,37.78841007,-122.4124538,4,$270.00 ,$50.00 ,1084.00
10805572,37.78561729,-122.4074439,4,$380.00 ,$100.00 ,1496.00
10503631,37.78834959,-122.4184844,3,$140.00 ,$50.00 ,538.00
4902729,37.7846841,-122.414812,2,$59.00 ,$19.00 ,228.80
17717979,37.78544483,-122.4150521,2,$95.00 ,,399.00
11079072,37.78935037,-122.4134694,4,$175.00 ,,735.00
5070973,37.78729538,-122.4095765,2,$89.00 ,$25.00 ,348.80
5070945,37.78681039,-122.4092969,2,$59.00 ,$25.00 ,222.80
15998980,37.77613449,-122.4214272,2,"$9,999.00 ",,41995.80
16256406,37.78664608,-122.4184259,2,$91.00 ,,382.20
8421068,37.78303855,-122.4192965,1,$140.00 ,$20.00 ,568.00
16286043,37.78481926,-122.4195045,2,$80.00 ,,336.00
14687667,37.78747353,-122.4092647,2,$78.00 ,$25.00 ,302.60
200580,37.78500244,-122.4190045,2,$110.00 ,$75.00 ,387.00
11080673,37.77490505,-122.4207979,2,$200.00 ,,840.00
5070054,37.78558426,-122.4094092,2,$89.00 ,$25.00 ,348.80
13174268,37.7843285,-122.411078,2,$119.00 ,$65.00 ,434.80
16548237,37.78440067,-122.4147192,2,$75.00 ,,315.00
10771698,37.78884348,-122.4142996,6,$700.00 ,$250.00 ,2690.00
